0: ガデム	「素人め、間合いが遠いわ」
24: シャア	「…パプアがやられ、ガデムも死んだ。どういうことなのだ？モビルスーツにしろ、あの船にしろ、あきらかに連邦軍の新兵器の高性能の前に敗北を喫した。それはわかる。しかし、いったいどういうことなのだ？連中は戦法も未熟なら、戦い方もまるで素人だ」
24: シャア	「…どういうことなのだ」
25: ブライト	「なんだと？」
25: ブライト	「なんだ？」
25: ガルマ	「なんだと？」
25: シャア	「なんだ？」
25: ブライト	「なんだと？マゼランが港の出入り口を」
25: アムロ	「なんだあれは？」
26: シャア	「スレンダー」
26: シャア	「スレンダーは？」
27: アムロ	「シャア」
27: アムロ	「シャア」
27: アムロ	「シャアだ」
27: アムロ	「シャアだ。…」
28: ブライト	「艦長」
28: ブライト	「艦長」
28: ブライト	「は、艦長」
28: ブライト	「艦長、ここでしたか」
28: ブライト	「…艦長、やりましたよ」
28: ブライト	「は？艦長、何か？」
28: ブライト	「艦長、降ろさせます」
29: ドレン	「は？」
29: ドレン	「は」
29: ドレン	「はあ？」
29: ドレン	「期待します」
30: キッカ	「…」
30: キッカ	「…」
30: キッカ	「わーい…」
31: パオロ	「知っているのか？」
31: パオロ	「知らんな」
32: ブライト	「アムロ」
32: ブライト	「は」
33: アムロ	「おっ」
33: シャア	「おっ」
34: ブライト	「こう言わざるをえないのが現在の我々の状態なのだ。やれなければ、今からでもサイド７に帰るんだな」
35: ガルマ	「シャア」
35: ガルマ	「シャア」
35: シャア	「ガルマか？」
36: ジオン兵B	「第三波来ます。7、6、5、4、3、2」
36: ミライ	「高度32、30、29、26、25、24、20、17、16、14、12、11」
36: リュウ	「出力60、70、85、120、発進」
36: ジオン兵A	「第二波来ます。7、6」
37: テム	「ホワイトベースへ行くんだ」
37: テム	「早くホワイトベースへ逃げ込むんだ」
38: ナレーター	「人類が増えすぎた人口を宇宙に移民させるようになって、既に半世紀が過ぎていた。地球の周りの巨大な人工都市は人類の第二の故郷となり、人々はそこで子を産み、育て、そして死んでいった。宇宙世紀0079、地球に最も遠い宇宙都市サイド３はジオン公国を名乗り、地球連邦政府に独立戦争を挑んできた。この一ヶ月あまりの戦いでジオン公国と連邦軍は総人口の半分を死に至らしめた。人々はみずからの行為に恐怖した」
38: ナレーター	「人類が増えすぎた人口を宇宙に移民させるようになって、既に半世紀が過ぎていた。地球の周りの巨大な人工都市は人類の第二の故郷となり、人々はそこで子を産み、育て、そして死んでいった。宇宙世紀0079、地球に最も遠い宇宙都市サイド３はジオン公国を名乗り、地球連邦政府に独立戦争を挑んできた。この一ヶ月あまりの戦いでジオン公国と連邦軍は総人口の半分を死に至らしめた。人々はみずからの行為に恐怖した」
38: ナレーター	「人類が増えすぎた人口を宇宙に移民させるようになって、既に半世紀が過ぎていた。地球の周りの巨大な人工都市は人類の第二の故郷となり、人々はそこで子を産み、育て、そして死んでいった。宇宙世紀0079、地球に最も遠い宇宙都市サイド３はジオン公国を名乗り、地球連邦政府に独立戦争を挑んできた。この一ヶ月あまりの戦いでジオン公国と連邦軍は総人口の半分を死に至らしめた。人々はみずからの行為に恐怖した」
38: ナレーター	「人類が増えすぎた人口を宇宙に移民させるようになって、既に半世紀が過ぎていた。地球の周りの巨大な人工都市は人類の第二の故郷となり、人々はそこで子を産み、育て、そして死んでいった。宇宙世紀0079、地球から最も遠い宇宙都市サイド３はジオン公国を名乗り、地球連邦政府に独立戦争を挑んできた。この一ヶ月あまりの戦いでジオン公国と連邦軍は総人口の半分を死に至らしめた。人々はみずからの行為に恐怖した。戦争は膠着状態に入り、八ヶ月あまりが過ぎた」
38: ナレーター	「人類が増えすぎた人口を宇宙に移民させるようになって、既に半世紀が経っていた。地球の周りの巨大な人工都市は人類の第二の故郷となり、人々はそこで子を産み、育て、そして死んでいった。宇宙世紀0079、宇宙都市サイド３はジオン公国を名乗り、地球連邦政府に独立戦争を挑んできた。この戦いでジオン公国と連邦は総人口の半分を死に至らしめた。人々はそのみずからの行為に恐怖した」
38: ナレーター	「人類が増えすぎた人口を宇宙に移民させるようになって、既に半世紀が経っていた。地球の周りの巨大な人工都市は人類の第二の故郷となり、人々はそこで子を産み、育て、そして死んでいった。宇宙世紀0079、宇宙都市サイド３はジオン公国を名乗り、地球連邦政府に独立戦争を挑んできた。この戦いでジオン公国と連邦は総人口の半分を死に至らしめた。人々はそのみずからの行為に恐怖した」
39: アムロ	「あ、フラウ・ボゥ」
40: シャア	「あっ」
41: アムロ	「やります」
42: マーカー	「は、後方左40度に先程のムサイタイプ一隻、接近中です」
43: デニム	「おお、ジーン、何をする？」
43: デニム	「ええい、よくもジーンを」
44: シャア	「ク、クラウン。ザクには大気圏を突破する性能はない、気の毒だが。しかしクラウン、無駄死にではないぞ。お前が連邦軍のモビルスーツを引き付けてくれたおかげで撃破することができるのだ」
45: レツ	「…」
45: レツ	「…」
45: レツ	「ちくしょう」
45: レツ	「モビルスーツだ」
45: レツ	「ああっ」
45: レツ	「恐いんだぞ」
46: ガルマ	「ひどいものだな、そんなにすごいのか？」
47: シャア	「ガデム、落ち着け」
47: シャア	「ガ、ガデム」
48: セイラ	「これを引くのですね？」
49: フラウ	「…」
49: フラウ	「…」
49: フラウ	「…ア、アムロ」
50: ブライト	「頼む」
50: ブライト	「頼む」
50: ブライト	「頼むよ」
50: リード	「頼む」
51: アイキャッチ	「大気圏突入」
52: オスカ	「敵の地上部隊です」
52: アムロ	「ち、地上部隊だ」
53: ブライト	「セイラさん」
53: アムロ	「ブライトさん」
53: アムロ	「ブライトさん」
53: アムロ	「ミライさんとセイラさんは？」
53: アムロ	「はい、セイラさん」
53: フラウ	「ブライトさん」
53: アムロ	「了解、セイラさん。しかし」
53: アムロ	「了解です。ガンタンクはカイかセイラさんに操縦させてください。セイラさんならできるはずです」
53: セイラ	「弱気は禁物でしょ、ブライトさん」
54: セイラ	「ああっ」
54: セイラ	「ああっ」
54: セイラ	「あっ」
55: ブライト	「どうした？」
55: パオロ	「どうしたのか？」
55: ミライ	「どうでした？」
55: ドレン	「どうします？」
55: シャア	「どうだ」
55: シャア	「ザクはどうしたんだ？まだ受け取っておらんのか？」
55: ブライト	「どうやって接触するかだが」
55: ブライト	「軽率には言えんな、巡洋艦だったらどうする？」
56: シャア	「連邦軍のモビルスーツは存在するのだな？」
57: ブライト	「ミライ、君は大気圏突入することだけを考えていてくれ」
58: セイラ	「アムロ、シャアに気を取られすぎないで。ザクがサラミスのカプセルを」
59: カツ	「…」
59: カツ	「…」
59: カツ	「…」
59: カツ	「戦争なんだぞ」
60: アムロ	「そのつもりです。やってみます」
61: アムロ	「…よし」
61: ガルマ	「よし、収容しろ」
62: フラウ	「きゃあっ」
63: シャア	「コ、コム。時間がない」
63: フラウ	「アムロ、時間がないのよ」
64: 避難民A	「ええっ」
65: フラウ	「そうよ、一人っきりなんだから」
65: レツ	「そうだそうだ、なんだよ」
66: フラウ	「ええ」
66: フラウ	「ええ」
66: フラウ	「ええ、任して」
66: ミライ	「ええ」
67: シャア	「あらたに三機のザクが間に合ったのは幸いである。20分後には大気圏に突入する。このタイミングで戦闘を仕掛けたという事実は古今例がない。地球の引力に引かれ大気圏に突入すれば、ザクとて一瞬のうちに燃え尽きてしまうだろう。しかし、敵が大気圏突入の為に全神経を集中している今こそ、ザクで攻撃するチャンスだ。第一目標、木馬、第二目標、敵のモビルスーツ。戦闘時間は2分とないはずだが、諸君らであればこの作戦を成し遂げられるだろう。期待する」
68: リュウ	「食事は銃に弾を詰めるみたいなもんだ。兵士は食べたくなくても食べなきゃいけない」
68: アムロ	「食べたくないんだ」
69: セイラ	「…」
69: セイラ	「…」
69: セイラ	「…」
69: セイラ	「…」
69: セイラ	「…代わります」
69: セイラ	「ブライト」
70: アムロ	「うっ、シ、シャア」
70: アムロ	「うっ、た、立ちあがって」
71: フラウ	「洗濯しとくからね」
71: アムロ	「閉めといてください」
72: 次回予告	「サイド７を脱出するホワイトベースを待ち受けていたシャアは、ついに赤い彗星の本領を発揮してガンダムに迫る。それは、シャアにとってもアムロにとっても、初めて体験する恐ろしい戦いであった。機動戦士ガンダム、次回、『ガンダム破壊命令』。君は、生き延びることができるか？」
72: 次回予告	「ガルマ・ザビの機動力はホワイトベースを地上に追い詰める。正規軍との戦いは一瞬の息抜きも許されなかった。さらに、地球の重力はアムロ達に苦戦をしいる。機動戦士ガンダム、次回、『ガルマ出撃す』。君は、生き延びることができるか？」
72: 次回予告	「シャアのムサイが補給を受ける。この隙を突こうとコアファイター、ガンダムが強襲をかけた。しかし、シャア以外にもジオンには兵士がいた。戦士の叫びが轟く。機動戦士ガンダム、次回、『敵の補給艦を叩け！』。君は、生き延びることができるか？」
72: 次回予告	「アムロ達は味方の連邦軍に囚われてしまった。その間にも、ガンダム破壊の執念に燃えるシャアらの潜入部隊が忍び寄る。味方の兵を倒してでもホワイトベースを救出しなければならないのか？機動戦士ガンダム、次回、『ルナツー脱出作戦』。君は、生き延びることができるか？」
73: ミライ	「また攻撃のようです」
74: フラウ	「はい」
74: フラウ	「はい」
74: フラウ	「はい」
74: フラウ	「は、はい」
74: フラウ	「は、はい」
74: フラウ	「はい、石鹸とタオルです」
75: アムロ	「こいつ」
75: アムロ	「こいつだ」
75: アムロ	「こいつなら」
75: アムロ	「こいつ…」
75: ハヤト	「こいつ」
75: アムロ	「同じだ。こいつか？」
75: アムロ	「こいつ、動くぞ」
76: ワッケイン	「あとはわたくしにお任せください。お心置きなく傷のお手当てを」
77: ブライト	「…アムロと同じという訳か」
78: シャア	「行くぞ」
78: シャア	「行くぞ」
78: アムロ	「行くぞ」
79: 老人A	「ほらごらん、ペロ、あれが地球だよ」
80: アムロ	「ハヤト、いいな？わかるか？」
80: アムロ	「ハヤト、いいな？」
81: シャア	「補給物資積み込みの援護にあたれ」
82: リュウ	「やむを得んでしょう。発進します」
83: カイ	「だとさ、ハヤト」
84: テム	「ん、アムロ、避難しないのか？」
85: ワッケイン	「艦長、ルナ２司令ワッケインです」
85: ワッケイン	「ルナ２方面軍司令ワッケインだ。君がブライト・ノア君だな？」
86: アムロ	「ううっ…」
86: アムロ	「ううっ…」
86: フラウ	「ううっ…」
86: シャア	「ありうるな」
87: ブライト	「はい」
87: ブライト	「はい」
87: ブライト	「は、はい」
87: リュウ	「は、はい」
88: ブライト	「は、おもわしくありません」
89: アムロ	「うわーっ」
89: アムロ	「うわーっ…、シャア」
89: ジオン兵A	「うわーっ」
90: アムロ	「シャアと戦えるのはガンダムしかないんです」
91: アムロ	「了解」
91: アムロ	「了解」
91: アムロ	「了解」
91: アムロ	「了解」
91: アムロ	「了解」
91: アムロ	「了解」
91: マチュウ	「了解」
91: ブライト	「了解」
91: アムロ	「了解、発進します」
91: テム	「ん、了解した」
92: ブライト	「ホワイトベースはルナ２に直行する。各員の配置は現状のまま。相互に休息をとれ」
92: ブライト	「各員、第二戦闘配置のまま休息をとれ」
93: ブライト	「奴め、無線回線を切っている」
94: 連邦士官A	「司令」
94: 連邦士官A	「司令」
94: 連邦士官A	「司令」
95: シャア	「見ろ」
95: ガルマ	「笑うなよ、兵が見ている」
95: リード	「見ろ、ブライト。迎撃ミサイルを」
95: アムロ	「見てろよ、ザクめ」
95: シャア	「開発に成功したと見るのが正しいな」
95: シャア	「見ろ、私の予測した通りだ」
96: ブライト	「各ブロックを気密再確認。できるか？」
96: ブライト	「各ブロック、各個に迎撃体制をとれ」
96: ワッケイン	「ホワイトベースをこの場で固定。各艦防護体制をとれ。主砲スタンバイ」
97: アムロ	「クッ」
97: アムロ	「クッ」
97: アムロ	「あっ、クッ」
97: アムロ	「クッ…と、止まれ」
98: アムロ	「…ぶ、武器は？」
98: アムロ	「逃がすものか。ぶ、武器はないのか？武器は？」
98: アムロ	「…武器も持たずに？」
99: リュウ	「なあ？」
99: アムロ	「うるさいなあ」
100: ハヤト	「だと思います」
101: シャア	「フフ、むこうの運が良かったのかな？」
101: シャア	「モビルスーツはむこうか」
102: ブライト	「アムロと言っておりました」
102: ブライト	「アムロに言ってください」
103: ミライ	「えっ？じゃあアムロって」
104: アムロ	「あーっ」
104: アムロ	「…わあーっ」
104: アムロ	「やあーっ」
105: ハヤト	「敵に目標を分散させる、分散させる」
105: ハヤト	「違うんだアムロ。ガンタンクなら敵の注意を十分に引けるから、敵の戦力を分散させる為に」
105: ハヤト	「ホワイトベースから離れて戦力を分散させるんです」
106: アムロ	「父さん」
106: アムロ	「父さん」
106: アムロ	「父さん」
106: アムロ	「父さん」
106: アムロ	「父さん」
107: ブライト	「第4ブロック、ウォールフィルムを貼れ。誰かいないのか？」
108: アムロ	「もう、これだ。すべてこれだ」
108: リュウ	「おおっ、これはこれは」
108: アムロ	「シャア、これが最後だ」
109: フラウ	「ハロ、いらっしゃい」
110: ペロ	「直せる？」
110: ペロ	「直せるの？」
111: パオロ	「…」
111: パオロ	「…」
111: パオロ	「…」
111: パオロ	「…」
111: パオロ	「…」
111: パオロ	「…ホ、ホワイトベースの修理と、…子供達を…」
112: ガデム	「このーっ」
112: アムロ	「このーっ」
113: フラウ	「二食抜きなのよ、アムロ。食べる物も食べなくっちゃ」
113: アムロ	「このコンピューター組んだら食べるよ」
113: フラウ	「アムロ、食べる物と着る物持ってきたわ。着替えないとくさいわよ」
114: アムロ	「はい」
114: アムロ	「はい」
114: アムロ	「はい」
114: アムロ	「はい」
114: アムロ	「はい」
114: アムロ	「は、はい」
114: セイラ	「はい」
115: カイ	「お高くとまりやがって。あ、あんた、セイ、セイラとかいったよな？」
116: キッカ	「恐くないもん」
116: キッカ	「恐くないもん」
117: ナレーター	「ルナ２、宇宙都市建設の鉱物資源をうる為に月軌道上に運ばれてきた小惑星である」
117: ナレーター	「ルナ２、宇宙都市建設の鉱物資源をうる為に運ばれてきた小惑星である。今、ここには連邦軍の最前線基地がある」
118: クルーA	「頼むぜ」
119: ドレン	「180度回頭急げ。残りのミサイルのあるブロックは、全弾太陽に向かってぶち込め」
120: ブライト	「…」
120: ブライト	「…」
120: ブライト	「…」
120: ブライト	「…？あっ」
121: マチュウ	「少佐。マチュウ、フィックス共にザクに搭乗。敵を追撃いたしますか？」
121: ドレン	「マチュウ、フィックス、ザクに搭乗しろ」
122: リュウ	「…」
122: リュウ	「…」
122: リュウ	「…」
122: リュウ	「…艦長」
122: リュウ	「ん？」
122: ブライト	「リュウ、応答しろ。リュウ」
123: ガルマ	「ゲビル、ゆけい」
123: ゲビル	「ゲビル戦隊、行くぞ」
124: スレンダー	「少佐」
124: スレンダー	「しょ、少佐」
124: スレンダー	「ありがとうございます、少佐」
125: ワッケイン	「…しまった、謀られた」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ」
126: フラウ	「アムロ、アムロ」
126: アムロ	「フラウ、君までやられる、逃げるんだフラウ」
127: リード	「き、貴様、ぐ、軍規違反で」
127: リード	「き、貴様、後退せんのか」
128: アムロ	「ブライトと約束したんだ。ぼ、僕がシャアを引きつけておくってな」
128: ブライト	「甘ったれるな。アムロがシャアを引きつけておいてくれたからガンタンクの攻撃ができたんだぞ」
129: アムロ	「あっ」
129: アムロ	「あっ」
129: アムロ	「あっ」
129: アムロ	「あっ」
129: アムロ	「あっ」
129: アムロ	「あっ」
129: アムロ	「あっ？」
129: アムロ	「あっ…」
129: アムロ	「あっ。わあっ」
129: アムロ	「うあっ」
129: アムロ	「うあっ」
129: リード	「あっ」
130: シャア	「わざわざ君が出てくることもなかったと言いたいのか？」
131: シャア	「遅い」
131: シャア	「遅いな」
131: ブライト	「遅い」
132: アムロ	「うん」
132: フラウ	「うん…」
132: レツ	「うん」
132: ペロ	「うん、そうだよね」
133: アムロ	「無線回復、着艦します」
133: セイラ	「ガンダム、着艦しました」
134: リード	「カビラ、ムサイを振り切る自信はあるか？」
134: ブライト	「ミライ、自信はあるか？」
135: アムロ	「微速前進」
135: ブライト	「ミライ、エンジンパワーが臨界に達したら微速前進だ」
136: セイラ	「無理よ、ライフルを発射することはできないわ、メカニックマンに聞いてみるけど」
137: シャア	「君は私とデニムの命令は守ったのだ。気にすることはない、スレンダー軍曹」
137: ミライ	「私が心配なのは、シャアがおとなしく引き下がったとは思えないことなの」
138: アムロ	「おだてないでください」
138: ハヤト	「茶化さないでください」
138: フラウ	「はい、さっぱりとした気分で地球の土を踏んでください」
139: 避難民B	「地球？」
140: アムロ	「逃がすものか」
140: アムロ	「船にはやらせるものか」
141: フラウ	「外で待ってるから」
141: シャア	「待て」
142: リード	「ブライト君、私の使命はこのホワイトベースとガンダムを無事に連邦軍本部に送り届けることなんだ。ガンダムを収容しろ」
143: アムロ	「そうですが」
143: アムロ	「そうかい？」
144: ドレン	「駄目です。残念ながら回収不可能です」
144: パオロ	「残念ながら」
145: ワッケイン	「う、パオロ艦長」
145: ワッケイン	「しかし、艦長」
146: 次回予告	「連邦軍本部と連絡を取る為、アムロは敵陣を飛び越す作戦を実行した。しかし、シャアがその作戦の出鼻をくじく。コアファイターはガンダムに換装してシャアに立ち向かえるのか？機動戦士ガンダム、次回、『コアファイター脱出せよ』。君は、生き延びることができるか？」
147: ブライト	「は？」
147: ブライト	「ガンダムの運搬は？」
147: ブライト	「シャアのムサイは？」
147: リュウ	「ブライト、敵の様子は？」
147: ブライト	「チャンネルは？」
148: フラウ	「アムロ、早く」
148: フラウ	「…早く」
148: フラウの母	「フラウ、早く」
148: リード	「早く、空気が抜ける」
149: ジオン兵A	「よーし、上等上等」
150: ブライト	「肩に力が入りすぎのようだな。大丈夫、コンピューターがやってくれますよ」
151: マーカー	「続いて接近する物体二つあります」
152: ブライト	「隣の部屋にいるはずだ」
153: ブライト	「憎んでくれていいよ」
154: リュウ	「うおっ」
154: リュウ	「うおっ」
154: リュウ	「うおっ」
155: オスカ	「電波障害の為、ガンダムを確認できません」
156: 女A	「…ユーリが」
156: 女A	「私のユーリはどこ？…」
157: オスカ	「シャアのムサイに接近する船があります」
157: オスカ	「変わりません。ただ、ムサイに接近する船があります」
158: 連邦兵C	「できるわけないだろ、サイド側の壁を開かなきゃあな」
159: マーカー	「離れませんね」
160: セイラ	「あなたならできるわ」
160: セイラ	「しばらくは通信はできないわ」
161: ブライト	「収容作業終了後、アムロ、リュウをブリッジに」
162: セイラ	「ブリッジのモニターであなたはチェックできませんでした。ブライトの命令で捜していたんです」
163: ドズル	「まあよし、ザクを送る。V作戦のデータはなんでもいい、必ず手に入れろ。できるならそのモビルスーツを手に入れろ」
164: シャア	「デニム曹長は？」
164: ジーン	「デ、デニム曹長、て、敵のモビルスーツが動きだしました」
165: セイラ	「お捨てなさい。動くと撃ちます」
165: セイラ	「動くと撃ちます」
166: シャア	「ハッチ開け。コンベアパイプドッキング急がせ」
166: シャア	「よし、ハッチ開け」
166: ブライト	「ハッチ開け。ガンダム、急速発進」
167: ハヤト	「カイの親父さん、技術者で」
167: ハヤト	「ア、アムロの親父さんみたいな軍事技術者がここにこなけりゃ、僕らは」
168: アムロ	「い、言ったな」
168: アムロ	「い、言われなくたって」
168: アムロ	「だと思うよ。一週間前に地球に降りるって言ってたから」
169: ブライト	「カイ、ハヤト、ガンタンクはどうした？砲撃を、砲撃を」
169: カイ	「砲撃スタンバイ。エネルギーパイプ接続」
170: リード	「何かが燃えているぞ、消火しろ」
171: パオロ	「右のコンソールにあるだろう」
172: オムル	「レーザーロック発射」
172: オムル	「ハッチ開放です、サラミスカプセル聞こえますか？レーザーロック発射します。ロック後オートマチック願います」
172: ワッケイン	「発射」
172: ジオン兵A	「了解した。レーザーロックスタンバイ、いつでもどうぞ」
173: ガデム	「ザクをシャアに渡さにゃならんのだ」
173: ガデム	「ムサイ、ザクを渡したぞ、受け取れ」
174: シャア	「幸いであります。それに、ザクの補給も三機」
175: アムロ	「え？」
175: セイラ	「え？」
175: キッカ	「えいっ」
176: 連邦士官A	「私らだって降ろせるもんなら降ろしてやりたいよ。けどな、ルナ２の基地だって緊急事態の連続なんだ」
177: ブライト	「よし、決まった。出撃する。アムロはガンダム、リュウはコアファイター、場合によってはガンタンクの出撃もありうる。ビーム砲スタンバイ急げ」
178: ブライト	「下がった？」
178: ブライト	「下がれアムロ、下がれ。補給艦は撃破したんだ、すぐに下がるんだ」
179: 連邦兵A	「は、はい」
179: 連邦兵C	「は、はい」
180: セイラ	「およしなさい」
180: セイラ	「お捨てなさい」
180: フラウ	「おやめなさい、ね」
181: ハヤト	「よしなよ、そんな言い方」
181: ブライト	「そんな」
182: マーカー	「敵機です」
182: マーカー	「は」
182: マーカー	「モビルスーツのようです」
183: アムロ	「うしろ？」
183: アムロ	「リュウさん、うしろ、うしろ」
183: リュウ	「うしろだ、上昇しろ」
184: ドレン	「機関始動、推力3パーセント、メガ粒子砲スタンバイ。目標、サイド７のスペースゲート。ただし、ドッキング・ベイへの直撃は避ける」
185: シャア	「コム、私についてこれるか？」
186: ガデム	「わしの船をやられたんだぞ。このザクとて、わしと百戦錬磨の戦いの中をくぐり抜けてきたのだ。にわか作りの連邦軍のモビルスーツなど、一撃で倒してみせるわ」
187: ミライ	「すいません、着陸の時までお願い」
187: アムロ	「すいません」
188: アムロ	「やります。相手がザクなら人間じゃないんだ、僕だって」
188: アムロ	「僕だって、自信があってやる訳じゃないのに」
189: ドレン	「メガ砲のエネルギー充填にどのくらいかかるか？」
189: ブライト	「オペレーター、敵の接触と補給にどのくらいかかるもんかな？」
190: クルーA	「敵だ」
190: クルーA	「はい」
190: クルーA	「ああ、すまん」
191: ミライ	「緊急警報、緊急警報、戦闘可能な方はブリッジに集合、年齢は問いません。機関区以外の者はすべてブリッジに集合」
191: ブライト	「ミライさん、各員ブリッジに集合」
192: ブライト	「なに？また補給を受けるつもりなのか？シャアは。待てよ、ここで補給を受けるということは、俺達の追跡をあきらめたということなのか？」
193: フラウ	「船が出港します､残っている人はいませんか？」
193: フラウ	「…残っている人がいましたら返事してください」
194: アムロ	「ブライトさん、ジオンの兵士が港に入って行きました」
194: アムロ	「ブライトさん、行きます」
195: ブライト	「はい、事実だそうであります」
195: セイラ	「事実は事実よ」
196: リード	「…何事か？」
196: リード	「…」
196: リード	「シャアは追ってくるかな？」
197: ブライト	「は。しかし、ホワイトベースのパイロットが」
198: シャア	「フフ、少尉もなかなかやる」
199: スレンダー	「…お言葉ですが、自分は確かに」
200: ワッケイン	「マゼラン、急速発進。ドッキングロック解除急げ」
201: リュウ	「やったあ」
201: リュウ	「させるかあ」
201: リュウ	「シュミレーションを二度やった」
202: アムロ	「しっかりしろ、君は強い女の子じゃないか」
203: ガデム	「ザクの放出はどうなっておる？」
204: アムロ	「な、なんだ？」
204: アムロ	「な、なんの真似だ？」
204: アムロ	「…な、なんだ？」
204: カイ	「な、なんだってんだよ」
205: ブライト	「リュウ、カイ、アムロ、ガンダムの封印は解けたか？」
205: ブライト	「アムロはガンダムの封印を解け」
206: ブライト	「よろしいですね？」
207: ブライト	「サイド７に来る前はどこにいたんです？」
208: アムロ	「はい、シャアが速すぎたんです」
209: アムロ	「やってみます」
209: シャア	「やってみます」
209: アムロ	「やってみるさ」
209: ハヤト	「やってみるか」
209: リュウ	「はい、やってみます」
209: アムロ	「僕に貸してみてくれません？」
210: セイラ	「余計なことは言わないで。ホワイトベース接地、発進です」
211: フラウ	「入港する軍艦にアムロのお父さん乗ってるんでしょ？」
212: パオロ	「シャ、シャアだ、あ、赤い彗星だ」
212: ドズル	「フフフ、さすが、赤い彗星のシャアだな。で、何か？」
213: シャア	「うむ」
213: ドズル	「うむ」
214: 男A	「ルナ２にはいつ着きます？」
215: ブライト	「ハヤト君、どう思うかね？」
215: パオロ	「ミライ君、どうかね？」
216: ブライト	「ここを開けろ」
217: ブライト	「なぜそこにいる？」
218: シャア	「お言葉に甘えよう。しかし、ジオン十字勲章ものであることは保証するよ」
218: シャア	「言ったさ、ジオン十字勲章ものだとな。次のチャンスを狙っているんだろ？」
219: キッカ	「全員集合でしょ、全員」
219: パオロ	「戦闘員は全員出たのか？」
220: ブライト	「ああ、気をつけてくれよ。訓練を思い出してな」
221: ミライ	「ミライ・ヤシマと申します」
222: ハヤト	「ああ、避難命令のこと？」
222: アムロ	「避難命令？あのサイレン、そうなの？」
223: ブライト	「了解しました、ホワイトベースに収容します」
223: ブライト	「はい、了解しました」
224: アムロ	「ハヤト」
224: ハヤト	「アムロ」
224: ハヤトの母	「ハヤト」
224: ハヤト	「じゃ」
224: ハヤト	「ね」
224: アムロ	「ハヤト、どっちだ？」
224: ハヤト	「アムロ、お前」
224: フラウ	「ハヤト君」
224: ハヤト	「撃ちます」
225: ブライト	「我々は民間人を百人以上連れているんですよ。それだってサイド７が攻撃されてやむなく脱出してきたんです」
